,Spot Fundamentals,,,,,,,,CPS,,,,,,,,,,,Raw Nuclide Ratios,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,total,total,total,total,total,total,total,total,total,total,total,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Primary,190,195.8,195.9,204,BKG,206,207,208,238,248,254,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stage,Stage,Stage,,,beam,cts,cts,cts,cts,cts,cts,cts,cts,cts,cts,cts,190,,195.9,,204,,206,,206,,207,,208,,208,,238,,248,,248,,254,
Fraction   ,Date/Time ,Hours ,X ,Y ,Z ,Qt1y ,Qt1z ,(na) ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/195.8 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/206 ,+/-1sigma % ,/238 ,+/-1sigma % ,/254 ,+/-1sigma % ,/206 ,+/-1sigma % ,/206 ,+/-1sigma % ,/248 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/254 ,+/-1sigma % ,/238 ,+/-1sigma % 
1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214-017.2 ,11/29/2016 20:46,50.363,6964,3406,4318,-185,-986,-6.7,5671.127602,13757.21989,106553.7754,0.366666671,0.083333334,2378.938205,440.2240939,379.5954931,1741.442733,5617.97267,10927.60289,0.410981404,0.664251648,7.737893586,0.747614254,1.19E-04,24.25467336,1.370223661,0.457477171,0.218337013,0.345550001,0.185003621,0.423354612,0.159939593,2.188294773,0.067541292,2.212181509,0.124191641,0.554649272,0.399102392,0.71351706,0.514397384,0.600311671,6.257733024,0.441973432
1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242-005.1 ,11/27/2016 19:07,0.711,6965,3492,3991,-164,-986,-6.7,5582.646049,14211.8311,112723.4796,0.166666668,0.1,2514.886803,460.3270616,423.8554787,1863.687988,6216.857606,11550.11714,0.392297722,0.664927835,7.921372941,0.387515129,2.65E-05,50.00050953,1.348493587,0.799188005,0.217719855,0.545185275,0.182991055,0.414818785,0.165872705,2.072453106,0.067998219,4.436500373,0.131137827,0.542281696,0.437016918,0.685172814,0.538249295,0.574798256,6.188322054,0.429725
1242-006.1 ,11/27/2016 19:23,0.989,6965,3542,3931,-164,-986,-6.4,2958.97721,14778.32133,126319.9734,0.229629632,0.150000001,1088.173028,199.0242196,167.9264943,817.9006676,2395.659976,5041.908427,0.200069677,0.837694768,8.629648454,0.421104728,7.32E-05,45.75085834,1.330068677,0.666128436,0.215310382,0.503806381,0.183021134,0.626216102,0.15480813,3.277704005,0.06929934,3.303157842,0.055563289,1.080483884,0.163101973,0.973764867,0.474726142,0.907144574,6.177202524,0.642620486
1242-001.1 ,11/27/2016 23:50,5.434,6964,3338,4050,-171,-986,-7,5119.391601,13881.26163,112790.9567,0.233333335,0.05,2847.243925,519.8910058,578.8400918,2139.623894,8621.798339,13280.24182,0.368823573,0.686704832,8.118362031,0.395685061,6.44E-05,30.151881,1.337522173,0.420451291,0.216061031,0.32035205,0.182029908,0.392383659,0.202999906,1.782617023,0.067321798,1.804165592,0.15268135,0.530772936,0.613110926,0.626640594,0.649365077,0.502485526,6.195981588,0.403348456
