230Th*/238U,X±2σ(abs),234U*/238U,Y±2σ(abs),corr coef
0.787174467,0.002472973,1.112997105,0.004812142,0.0
0.785279872,0.003488836,1.104535717,0.003504504,0.0
0.757751874,0.003437122,1.098862611,0.004937997,0.0
0.756755971,0.002292904,1.095577076,0.003613920,0.0
0.769622435,0.003069412,1.104933730,0.005966043,0.0
0.754230241,0.004366264,1.099870658,0.003039218,0.0
0.760346901,0.004460567,1.104336707,0.004830971,0.0
0.759050757,0.002174949,1.098264378,0.005414218,0.0
0.766429941,0.007290816,1.102943341,0.003127906,0.0
0.777301225,0.003167341,1.101947646,0.003224137,0.0
0.779894193,0.003500865,1.118173335,0.006966140,0.0
0.781888816,0.003270823,1.118372424,0.008000935,0.0
0.782985109,0.003832090,1.117974657,0.004330706,0.0
0.781688601,0.004060869,1.111205641,0.007176835,0.0
0.762741024,0.002969033,1.107920030,0.004823140,0.0
0.763237957,0.004908767,1.103739947,0.004548051,0.0
0.769023512,0.003525521,1.110209805,0.005196072,0.0
0.769917231,0.002727962,1.105831646,0.005963751,0.0
0.776501596,0.003282191,1.112997925,0.004246044,0.0
0.776998549,0.003054914,1.111107425,0.003777516,0.0
0.798544256,0.001562462,1.117575886,0.005461398,0.0
0.800139952,0.002006875,1.114788659,0.005468221,0.0
0.800439225,0.003009748,1.113992263,0.003583907,0.0
0.803930031,0.002447054,1.118172970,0.003765470,0.0
0.763039792,0.003881829,1.107123872,0.007757655,0.0
